"What are corks made of?","Wood"
"Who came up with the name 'cell' for cells?","Robert Hooke"
"Why did the name 'cell' for cells make sense at the time?","When looking at a cork through a microscope, the cell walls of the dead plant cells in the cork look like room cells"
"In what century did Robert Hooke come up with the name for 'cell'?","The 16th century"
"Why did the name 'cell' for cells make sense at the time?","When looking at a cork through a microscope, the cell walls of the dead plant cells in the cork look like room cells"
"What is Cell Theory?","All living things are made of cells.\nLiving cells come from other living cells."
"What innovation pushed us to discover cell? i.e. what was the bottleneck to us having discovering it earlier?","The microscope"
"What was the prevailing theory before Cell Theory in ancient times?","Spontaneous generation"
"What is spontaneous generation?","The theory that life can arise spontaneously from non-living matter."
"Who disproved the theory of spontaneous generation?","Louis Pasteur."
"In what year did Louis Pasteur disprove spontaneous generation?","1861."
"What flask did Louis Pasteur use to disprove spontaneous generation?","The swan-neck flask"
"What experiment did Louis Pasteur conduct to disprove spontaneous generation?","The swan-neck flask experiment, showing that microorganisms did not spontaneously generate in sterilized, sealed broth."
